Product_ID,Material_Name,CAS_Number,Price_US/g,Notes,Is_Dilution,Active_Material,Solvent,Active_%,Availability,Price_Change
8F3094005321,Ocimene from SimpleScentsDIY,13877-91-3,1.236,,,,,,Not Listed,REMOVED
8F3094005338,Octahydrocoumarin from SimpleScentsDIY,4430-31-3,0.227,,,,,,Not Listed,REMOVED
8F3094004202,Oranger Crystals (Powder) from SimpleScentsDIY,93-08-3,0.309,,,,,,Not Listed,REMOVED
8F3094004203,Oranger Crystals 10 % in DPG from SimpleScentsDIY,93-08-3,0.165,,TRUE,Oranger Crystals (Powder) from SimpleScentsDIY,ไดโพรไพลีน ไกลคอล / Dipropylene Glycol / DPG from SimpleScentsDIY,10.00%,Not Listed,REMOVED
8F3094001836,Orivone from SimpleScentsDIY,16587-71-6,0.433,,,,,,Not Listed,REMOVED
8F3094001783,Para-Cresol from SimpleScentsDIY,106-44-5,0.165,,,,,,Not Listed,REMOVED
8F3094001782,Patchone (Powder) from SimpleScentsDIY,98-52-2,0.556,,,,,,Not Listed,REMOVED
8F3094001784,Patchone 10% in DPG from SimpleScentsDIY,,0.124,,TRUE,Patchone (Powder) from SimpleScentsDIY,ไดโพรไพลีน ไกลคอล / Dipropylene Glycol / DPG from SimpleScentsDIY,10.00%,Not Listed,REMOVED
8F3094001707,Peonile from SimpleScentsDIY,10461-98-0,0.165,,,,,,Not Listed,REMOVED
8F3094001824,Peranat from SimpleScentsDIY,90397-38-9,0.464,,,,,,Not Listed,REMOVED
8F3094004213,Phenyl Ethyl Acetate from SimpleScentsDIY,103-45-7,0.124,,,,,,Not Listed,REMOVED
8F3094001283,Phenyl Ethyl Alcohol from SimpleScentsDIY,60-12-8,0.103,,,,,,Not Listed,REMOVED
8F3094001565,Raspberry Ketone (Powder) from SimpleScentsDIY,5471-51-2,0.371,,,,,,Not Listed,REMOVED
8F3094001557,Raspberry Ketone 20% in DPG from SimpleScentsDIY,,0.103,,TRUE,Raspberry Ketone (Powder) from SimpleScentsDIY,ไดโพรไพลีน ไกลคอล / Dipropylene Glycol / DPG from SimpleScentsDIY,10.00%,Not Listed,REMOVED
8F3094001785,Rhubafuran from SimpleScentsDIY,82461-14-1,0.866,,,,,,Not Listed,REMOVED
8F3094001888,Rhubofix from SimpleScentsDIY,41816-03-09,1.298,,,,,,Not Listed,REMOVED
8F3094001902,Romandolide from SimpleScentsDIY,236391-76-7,0.402,,,,,,Not Listed,REMOVED
8F3094001786,Rosafix (Powder) from SimpleScentsDIY,90-17-5,0.556,,,,,,Not Listed,REMOVED
8F3094001787,Rosafix 10% in DPG from SimpleScentsDIY,,0.103,,,,,,Not Listed,REMOVED
8F3094001549,Rose Oxide from SimpleScentsDIY,16409-43-1,0.247,,,,,,Not Listed,REMOVED
8F3094001649,Safranal from SimpleScentsDIY,116-26-7,1.700,,,,,,Not Listed,REMOVED
8F3094001548,Sandalore from SimpleScentsDIY,65113-99-7,0.247,,,,,,Not Listed,REMOVED
8F3094001756,Sandela 85 from SimpleScentsDIY,3407-42-9,0.165,,,,,,Not Listed,REMOVED
8F3094001889,Scentenal from SimpleScentsDIY,86803-90-9,0.618,,,,,,Not Listed,REMOVED
8E3094000986,Siam Benzoin Resinoid 50 % In DPG from SimpleScentsDIY,84012-39-5,0.196,,,,,,Not Listed,REMOVED
8F3094005314,Silvanone Supra from SimpleScentsDIY,109-29-5,0.618,,,,,,Not Listed,REMOVED
8F3094001706,Stemone from SimpleScentsDIY,22457-23-4,0.206,,,,,,Not Listed,REMOVED
8F3094004196,Styralyl Acetate from SimpleScentsDIY,93-92-5,0.124,,,,,,Not Listed,REMOVED
8F3094001652,Suederal LT from SimpleScentsDIY,,0.495,,,,,,Not Listed,REMOVED
8F3094001827,Sulfurol (Milky) from SimpleScentsDIY,137-00-8,0.299,,,,,,Not Listed,REMOVED
8F3094005315,Terpineol from SimpleScentsDIY,8000-41-7,0.124,,,,,,Not Listed,REMOVED
8F3094001702,Timberol from SimpleScentsDIY,70788-30-6,0.371,,,,,,Not Listed,REMOVED
8F3094001788,Trifernal from SimpleScentsDIY,16251-77-7,0.495,,,,,,Not Listed,REMOVED
8F3094001650,Triplal from SimpleScentsDIY,68039-49-6,0.165,,,,,,Not Listed,REMOVED
8F3094005336,Ultravanil 80% In DPG from SimpleScentsDIY,2563-07-07,4.637,,,,,,Not Listed,REMOVED
8F3094001651,Undecavertol from SimpleScentsDIY,81782-77-6,0.165,,,,,,Not Listed,REMOVED
