Product_ID	Material_Name	CAS_Number	New CAS	Price_US/g	Notes	Is_Dilution	Active_Material	Solvent	Active_%
7RB00837	Geranium Oil Egypt from PerfumersWorld	90082-51-2		0.5		FALSE			
6CN24668	Petigrain Bigarade from PerfumersWorld	8014-17-3		0.45		FALSE			
8CS23654	Nepal Pepper Co2 Extract from PerfumersWorld	97404-53-0		4.4		FALSE			
8FY24655	Caribbean Rum Extract from PerfumersWorld	91770-72-8		8.8		FALSE			
8IQ24653	Orris Liquid from PerfumersWorld	8002-73-1		18.0		FALSE			
7SL24626	Jungle Pepper Oil from PerfumersWorld	97404-53-0		4.1		FALSE			
7CK24631	Key Lime Oil Egypt from PerfumersWorld	8008-26-2		0.25		FALSE			
7PL24627	Basil Linalool Oil Egypt from PerfumersWorld	8015-73-4		0.3		FALSE			
4WX24656	Hindinol from PerfumersWorld	28219-60-5		0.39		FALSE			
