Product_ID,Material_Name,Package_Size,CAS_Number,New CAS,Price_THB_total,Price_THB/g,Notes,Is_Dilution,Active_Material,Solvent,Active_%,Supplier,Product_URL
8E3094000990,Mate Absolute 10% in DPG,5 ml,73296-98-7,,,,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/35899-35608/-mate-absolute-10
8F3094005394,Galaxolide 50% in DPG,15 ml,1222-05-5,,,,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/35898-35607/galaxolide-50
8F3094005427,Phenoxanol,15 ml,55066-48-3,,,,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/35897-35606/phenoxanol
8F3094005426,Polysantol,15 ml,107898-54-4,,,,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/35896-35605/polysantol
8F3094005336,Ultravanil 80% In DPG,2 g,2563-07-7,,,,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/35607-35239/ultravanil
8F3094005335,Violiff,5 ml,87731-18-8,,,,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/35606-35238/violiff
8F3094005334,Kohinool,5 ml,87118-95-4,,,,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/35605-35237/kohinool
8F3094005338,Octahydrocoumarin,15 ml,4430-31-3,,,,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/35604-35236/octahydrocoumarin
8F3094005337,Anethol,15 ml,4180-23-8,,90.00,6.0000,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/35603-35235/anethol
8F3094005333,Alpha-Pinene,15 ml,80-56-8,,60.00,4.0000,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/35602-35234/alpha-pinene-
8F3094005321,Ocimene,5 ml,13877-91-3,,,,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/35497-34997/ocimene
8F3094005322,Nerolidol,15 ml,7212-44-4,,,,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/35496-34996/nerolidol
8F3094005324,Cis-3-Hexenol,15 ml,928-96-1,,145.00,9.6667,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/35495-34995/cis-3-hexenol
8F3094005320,Gamma-Heptalactone,15 ml,105-21-5,,,,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/35448-34948/gamma-heptalactone-15-ml
8F3094005319,Florhydral,5 ml,125109-85-5,,,,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/35447-34947/florhydral
8F3094005318,Bourgeonal,5 ml,110-41-8,,100.00,20.0000,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/35446-34946/bourgeonal
8F3094005317,Aldehyde C-12 MNA,15 ml,110-41-8,,75.00,5.0000,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/35445-34945/aldehyde-c-12-mna-
8F3094005316,DMBC Acetate,15 ml,151-05-3,,,,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/35444-34944/dmbcacetate
8F3094005430,Miel Blanc Base / Specialty Base for Blend,5 ml,,,100.00,20.0000,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/36442-36359/mielblanc
8F3094005425,Neroli Base / Specialty Base for Blend,15 ml,,,180.00,12.0000,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/36000-35709/neroli-base
8F3094005424,Styrax Base / Specialty Base for Blend,15 ml,,,180.00,12.0000,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/35999-35708/styrax-base
8F3094005423,Lilial Replacer / Specialty Base for Blend,15 ml,,,90.00,6.0000,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/35998-35707/lilial-replacer
8F3094005422,Lyral Replacer / Specialty Base for Blend,15 ml,,,60.00,4.0000,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/35997-35706/lyral-replacer
8F3094005339,Apple Oliffac Base / Specialty Base for Blend,15 ml,,,120.00,8.0000,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/35659-35323/apple-oliffac
8F3094004200,Chocovan 2 gl / Specialty Base for Blend,2 g,,,200.00,100.0000,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/34932-34403/chocovan
8F3094004162,Prunella 975617 / Specialty Base for Blend,5 ml,,,180.00,36.0000,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/34772-34243/prunella-975617
8F3094004160,Fruit Sec 184078 / Specialty Base for Blend,5 ml,,,180.00,36.0000,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/34771-34242/fruit-sec
8F3094004163,Dorinia SA 939680 / Specialty Base for Blend,5 ml,,,180.00,36.0000,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/34770-34241/dorinia-sa-939680
8F3094001261,Cassis Base 345B / Specialty Base for Blend,15 ml,,,80.00,5.3333,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/34761-34232/casisbase345b
8F3094001755,Tuberose Base / Specialty Base for Blend,15 ml,,,240.00,16.0000,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/34760-34231/tuberosebase
8F3094001760,Oud 3 Base / Specialty Base for Blend,5 ml,,,200.00,40.0000,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/34759-34230/oud3base
8F3094001759,Oud Cambodia / Specialty Base for Blend,15 ml,,,225.00,15.0000,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/34758-34229/oudcambodia
8F3094001709,Animal Base / Specialty Base for Blend,5 ml,,,100.00,20.0000,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/34756-34227/animalbase
8F3094001754,Amber 2 Base 10% DPG / Specialty Base for Blend,15 ml,,,60.00,4.0000,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/34755-34226/amber2base-
8F3094001793,Galbex 183 / Specialty Base for Blend,5 ml,,,140.00,28.0000,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/33423-32698/galbex183
8B3094001036,Deb Fix เบสแอลกอฮอล์พร้อมใช้ ทำน้ำหอมฉีดตัว,,,,35.00,,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/37145/debfix
8B3094001010,Room Spray Base / เบสน้ำหอมฉีดห้อง ฉีดหมอน,,,,100.00,,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/36462/roomspray
8T2309400584,ไซริงค์พลาสติก. ( ไม่รวมเข็ม ) /กระบอกฉีดยา / Syringe,10 ml,,,10.00,1.0000,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/33828/syringe
8B23094000611,"เบสน้ำหอมปรับอากาศ​ / Base Reed Diffuser 3 สูตร เฉพาะของทางร้าน   1,",250 ml,,,150.00,0.6000,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/30148/เบสน้ำหอมปรับอากาศ-base-reed-diffuser-3-สูตร-เฉพาะของทางร้าน-250-ml-amp-1000-ml
8B3094000975,DEB 99 แอลกอฮอล์ 99% / Ethyl Alcohol 99% / เอทิล แอลกอฮอล์ 99%,100 ml,,,30.00,0.3000,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/29863/deb-99-แอลกอฮอล์-99-100-ml-ethyl-alcohol-99-เอทิล-แอลกอฮอล์-99-
8B23094000253,กลีเซอรีน​ Glycerin สารช่วยเพิ่มความชุ่มชื้น,,,,25.00,,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/23305/กลีเซอรีน-glycerin-สารช่วยเพิ่มความชุ่มชื้น
8B23094000259-1,Dowanol DPM  เป็นตัวทำละลาย Solvent Base,,,,225.00,,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/23304/dowanol-dpm-เป็นตัวทำละลาย-solvent-base
8B23094000582,"Deb Mix.แอลกอฮอล์​สำเร็จรูป​ ใช้ผสมกับหัวน้ำหอม 1,",000 ml,,,35.00,,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/23303/deb-mixแอลกอฮอล์สำเร็จรูป-ใช้ผสมกับหัวน้ำหอม-1000-ml
