Status,Cleaned_Name,WIP_CAS,PubChem_CID,PubChem_Title,PubChem_CAS_All,PubChem_Synonyms_Top10,Audit_Notes,Original_Name,Supplier_CAS_Map,Product_URL
WIP_DISCREPANCY,Isomenthone,,6986,,491-07-6,10458-14-7|p-Menthan-3-one|2-Isopropyl-5-methylcyclohexanone|5-Methyl-2-(1-methylethyl)cyclohexanone|5-Methyl-2-(isopropylcyclo)hexanone|NSC 113134|5-Methyl-2-(isopropyl)cyclohexanone|EINECS 233-944-9|CHEBI:36742|DTXSID80859154,,Isomenthone,{'MySkinRecipes': '491-07-6'},https://www.myskinrecipes.com/shop/th/ice-cold-เย็น/2473-isomenthone.html
WIP_DISCREPANCY,3-Methylbutyl Propanoate Isoamyl Propionate,,7772,,105-68-0,"Isoamyl propionate|105-68-0|3-Methylbutyl propanoate|ISOAMYL PROPANOATE|Isopentyl propanoate|Isopentyl propionate|3-Methylbutyl propionate|Isopentyl alcohol, propionate|1-Butanol, 3-methyl-, propanoate|iso-Pentyl propionate",,3-Methylbutyl Propanoate Isoamyl Propionate (FEMA 2082),{'MySkinRecipes': '105-68-0'},https://www.myskinrecipes.com/shop/th/ungrouped/32350-3-methylbutyl-propanoate-isoamyl-propionate-fema-2082.html
WIP_DISCREPANCY,Herbal Undecanone Plicatone,,162481,,41724-19-0,"Octahydro-7-methyl-1,4-methanonaphthalen-6(2H)-one|1,4-Methanonaphthalen-6(2H)-one, octahydro-7-methyl-|EINECS 255-517-6|DTXSID1052088|RefChem:73358|DTXCID6030655|255-517-6|41724-19-0|5-methyltricyclo[6.2.1.02,7]undecan-4-one|7-methyloctahydro-1,4-methanonaphthalen-6(2H)-one",,Herbal Undecanone Plicatone,{'MySkinRecipes': '41724-19-0'},https://www.myskinrecipes.com/shop/th/herb-สมุนไพร/3702-herbal-undecanone-plicatone.html
WIP_DISCREPANCY,Marine Hexane,,18974564,,181258-87-7,"1-ethoxy-4-(2-methylbutan-2-yl)cyclohexane|DTXSID30861464|RefChem:1055383|DTXCID30210458|181258-87-7|Cis-1-ethoxy-4-(tert-pentyl)cyclohexane|Cyclohexane, 1-(1,1-dimethylpropyl)-4-ethoxy-, cis-|181258-89-9|Cyclohexane, 1-(1,1-dimethylpropyl)-4-ethoxy-, trans-|SCHEMBL754970",,Marine Hexane (Ozofleur),{'MySkinRecipes': '181258-87-7'},https://www.myskinrecipes.com/shop/th/yeast-moss-ยีส-มอสส์/3590-marine-hexane-ozofleur.html
WIP_VERIFIED,5-Methyl Furfural,,12097,,620-02-0,"5-METHYLFURFURAL|5-Methyl-2-furaldehyde|5-Methylfuran-2-carbaldehyde|5-Methyl-2-furfural|5-Methyl-2-furancarboxaldehyde|2-Furancarboxaldehyde, 5-methyl-|5-methyl-2-furancarbaldehyde|Furfural, 5-methyl-|CCRIS 2921|5-Methyl-2-furanaldehyde",,5-Methyl Furfural (FEMA 2702),{'MySkinRecipes': '620-02-0'},https://www.myskinrecipes.com/shop/th/vanilla-วานิลลา/2825-5-methyl-furfural-fema-2702.html
SUPPLIER_MISMATCH,Amber Furan,,90474858,Amber furan,,amber furan|SCHEMBL17864245,Supplier MySkinRecipes CAS 68611-23-4 error,Amber Furan (Grisalva),{'MySkinRecipes': '68611-23-4'},https://www.myskinrecipes.com/shop/th/animal-สัตว์/2812-amber-furan-grisalva.html
WIP_DISCREPANCY,Isoamyl Cinnamate,,5273467,Isoamyl Cinnamate,7779-65-9,"Isopentyl cinnamate|Isoamyl cinnamate|7779-65-9|Isopentyl alcohol, cinnamate|Cinnamic acid, isopentyl ester|FEMA No. 2063|2-Propenoic acid, 3-phenyl-, 3-methylbutyl ester|AB60R20S7J|DTXCID405454|DTXSID4025454",,Isoamyl Cinnamate (FEMA 2063),{'MySkinRecipes': '7779-65-9'},https://www.myskinrecipes.com/shop/th/spice-เผ็ดร้อน/2789-isoamyl-cinnamate-fema-2063.html
WIP_DISCREPANCY,Cinnamyl Cinnamate,,1550890,,122-69-0,,,Cinnamyl Cinnamate (FEMA 2298),{'MySkinRecipes': '122-69-0'},https://www.myskinrecipes.com/shop/th/frankincense-กำยาน/2745-cinnamyl-cinnamate-fema-2298.html
PROPRIETARY_MIXTURE,Methyl Ionone Gamma 95,,,,,,,Methyl Ionone Gamma 95,{'MySkinRecipes': ''},https://www.myskinrecipes.com/shop/th/iris-ไอริส/2661-methyl-ionone-gamma-isoraldeine-95.html
WIP_DISCREPANCY,Chrysanthemum Oxide,,19089,,3558-60-9,,,Chrysanthemum Oxide,{'MySkinRecipes': '3558-60-9'},https://www.myskinrecipes.com/shop/th/green-พืช-ใบไม้เขียว/2606-chrysanthemum-oxide.html
SUPPLIER_MISMATCH,Delta-Undecalactone,,7714,Gamma-undecalactone,104-67-6,"Gamma-undecalactone|104-67-6|Undecan-4-olide|2(3H)-Furanone, 5-heptyldihydro-|5-heptyloxolan-2-one|Persicol|Peach aldehyde|Peach lactone|1,4-Undecanolide|5-Heptyldihydro-2(3H)-furanone",Supplier MySkinRecipes CAS 710-04-3 error,Delta-Undecalactone,{'MySkinRecipes': '710-04-3'},https://www.myskinrecipes.com/shop/th/dairy-นม-เนย/2509-delta-undecalactone.html
WIP_DISCREPANCY,Nonanol,,8914,,143-08-8,1-Nonanol|Nonan-1-ol|143-08-8|NONYL ALCOHOL|Pelargonic alcohol|n-Nonyl alcohol|n-Nonanol|Nonalol|1-Hydroxynonane|Octyl carbinol,,Nonanol,{'MySkinRecipes': '143-08-8'},https://www.myskinrecipes.com/shop/th/aldehyde-ไขมัน/2431-nonanol.html
WIP_VERIFIED,Isobornyl Propionate,,23617864,,2756-56-1,"Isobornyl propionate|Isoborneol, propionate|2756-56-1|FEMA No. 2163|7T3RQY66IC|iso-Bornyl Propionate|Exo-2-Bornyl propionate|Exo-2-Camphanyl propionate|Bicyclo(2.2.1)heptan-2-ol, 1,7,7-trimethyl-, propanoate, exo-|Bicyclo(2.2.1)heptan-2-ol, 1,7,7-trimethyl-, 2-propanoate, (1R,2R,4R)-rel-",,Isobornyl Propionate (FEMA 2163),{'MySkinRecipes': '2756-56-1'},https://www.myskinrecipes.com/shop/th/ungrouped/32351-isobornyl-propionate-fema-2163.html
PROPRIETARY_MIXTURE,"Verdantiol, Lilyall",,121232773,"Methyl 2-((3-(4-(1,1-dimethylethyl)phenyl)-2-methylpropylidene)amino)benzoate",91-51-0,"DTXSID2052609|Methyl 2-[[3-[4-(1,1-dimethylethyl)phenyl]-2-methylpropylidene]amino]benzoate|Methyl 2-((3-(4-(1,1-dimethylethyl)phenyl)-2-methylpropylidene)amino)benzoate|RefChem:201683|DTXCID0031182|91-51-0|HCYRUADDKFDUII-UHFFFAOYSA-N|Methyl 2-{[1-(4-tert-butylphenyl)propan-2-yl]diazenyl}benzoate",,"Verdantiol, Lilyall / Methyl Anthranilate Schiffs Base",{'MySkinRecipes': '91-51-0'},https://www.myskinrecipes.com/shop/th/narcotic-ยาเสพติด/3991-verdantiol-lilyall-methyl-anthranilate-schiffs-base.html
NATURAL_MIXTURE,Treemoss Resinoid,,,,,,,Treemoss Resinoid,{'MySkinRecipes': '68917-40-8'},https://www.myskinrecipes.com/shop/th/yeast-moss-ยีส-มอสส์/3837-treemoss-resinoid.html
