Product_ID,Material_Name,CAS_Number,Remediation_Status,Canonical_Name,Verified_CAS,Price_USD/g,Notes,Is_Dilution,Active_Material,Solvent,Active_%
0ZA01228,Apricot Oil - Fixed Oil from PerfumersWorld,72869-69-3,NATURAL_MIXTURE,,72869-69-3,,,,,,
0ZA01393,Evening Primrose Oil - Fixed Oil from PerfumersWorld,90028-66-3,NATURAL_MIXTURE,,90028-66-3,,,,,,
0ZA01431,Sweet Almond Oil - Fixed Oil from PerfumersWorld,8007-69-0,NATURAL_MIXTURE,,8007-69-0,,,,,,
0ZA01433,Avocado Oil - Fixed Oil from PerfumersWorld,8024-32-6,NATURAL_MIXTURE,,8024-32-6,,,,,,
0ZA01434,Grapeseed Oil - Fixed Oil from PerfumersWorld,8024-22-4,VERIFIED_MATCH,Linoleic Acid,8024-22-4,,,,,,
0ZA01437,Olive Oil - Fixed Oil from PerfumersWorld,8001-25-0,NATURAL_MIXTURE,,8001-25-0,,,,,,
0ZA01442,Rice Bran Oil - Fixed Oil from PerfumersWorld,68553-81-1,NATURAL_MIXTURE,,68553-81-1,,,,,,
0ZA01456,Jojoba Oil - Fixed Oil from PerfumersWorld,61789-91-1,NATURAL_MIXTURE,,61789-91-1,,,,,,
0ZA07519,Vitamin E Acetate - Fixed Oil from PerfumersWorld,7695-91-2,VERIFIED_MATCH,Dl-alpha-tocopherol acetate,7695-91-2,,,,,,
0ZA07555,Palm Oil Fractionated - Fixed Oil (Palm MCT) from PerfumersWorld,8002-75-3,NATURAL_MIXTURE,,8002-75-3,,,,,,
0ZC00449,Triethyl Citrate (TEC) from PerfumersWorld,77-93-0,VERIFIED_MATCH,Triethyl Citrate,77-93-0,,,,,,
0ZH20962,3-Methyl-3-Methoxy Butanol (MMB) from PerfumersWorld,56539-66-3,VERIFIED_MATCH,Methoxymethylbutanol,56539-66-3,,,,,,
0ZN00053,Benzyl Alcohol (BA) from PerfumersWorld,100-51-6,VERIFIED_MATCH,Benzyl Alcohol,100-51-6,,,,,,
0ZN00054,Benzyl Benzoate (BB) from PerfumersWorld,120-51-4,VERIFIED_MATCH,Benzyl Benzoate,120-51-4,,,,,,
0ZP00365,Propylene Glycol (PG) from PerfumersWorld,57-55-6,VERIFIED_MATCH,Propylene Glycol,57-55-6,,,,,,
0ZP03359,Butylated Hydroxytoluene (BHT) antioxidant from PerfumersWorld,128-37-0,VERIFIED_MATCH,"2,6-Di-tert-butyl-4-methylphenol",128-37-0,,,,,,
0ZS05357,Solubilizer (Polysorbate 20) from PerfumersWorld,9005-64-5,DATA_GAP_MANUAL_CHECK,,9005-64-5,,,,,,
0ZS07626,Solubilizer PWS from PerfumersWorld,Mixture,DATA_GAP_MANUAL_CHECK,,Mixture,,,,,,
0ZS07781,Solubilizer Extra Clear from PerfumersWorld,Mixture,DATA_GAP_MANUAL_CHECK,,Mixture,,,,,,
0ZV01349,Rosemary Antioxidant - Extract from PerfumersWorld,84604-14-8,DATA_GAP_MANUAL_CHECK,,84604-14-8,,,,,,
0ZV01445,Safflower Oil - Fixed Oil from PerfumersWorld,8001-23-8,NATURAL_MIXTURE,,8001-23-8,,,,,,
0ZV01452,Sunflower Oil - Fixed Oil from PerfumersWorld,8001-21-6,NATURAL_MIXTURE,,8001-21-6,,,,,,
0ZV01460,Virgin Coconut Oil - Fixed Oil from PerfumersWorld,8001-31-8,NATURAL_MIXTURE,,8001-31-8,,,,,,
0ZV22213,Coconut Oil Fractionated (Coconut MCT) Fixed Oil from PerfumersWorld,73398-61-5,NATURAL_MIXTURE,,73398-61-5,,,,,,
0ZW00165,Dipropylene Glycol (DPG) from PerfumersWorld,25265-71-8,VERIFIED_MATCH,Dipropylene Glycol,25265-71-8,,,,,,
0ZX00143,Diethyl Phthalate (DEP) from PerfumersWorld,84-66-2,VERIFIED_MATCH,Diethyl Phthalate,84-66-2,,,,,,
0ZZ00239,Isopropyl Myristate (IPM) from PerfumersWorld,110-27-0,VERIFIED_MATCH,Isopropyl Myristate,110-27-0,,,,,,
0ZZ00240,Isopropyl Palmitate (IPP) from PerfumersWorld,142-91-6,VERIFIED_MATCH,Isopropyl Palmitate,142-91-6,,,,,,
0ZZ07723,White Mineral Oil - Fixed Oil from PerfumersWorld,8042-47-5,NATURAL_MIXTURE,,8042-47-5,,,,,,
1AA05031,Myristic Acid from PerfumersWorld,544-63-8,VERIFIED_MATCH,Myristic Acid,544-63-8,,,,,,
1AA06214,Lauric Acid from PerfumersWorld,143-07-7,VERIFIED_MATCH,Lauric Acid,143-07-7,,,,,,
1BB00290,Menthol Crystals from PerfumersWorld,2216-51-5,VERIFIED_MATCH,(-)-Menthol,2216-51-5,,,,,,
1BH00080,Camphor Powder from PerfumersWorld,76-22-2,VERIFIED_MATCH,Camphor,76-22-2,,,,,,
1BW00064,Borneol from PerfumersWorld,507-70-0,VERIFIED_MATCH,Borneol,507-70-0,,,,,,
