Status,Cleaned_Name,WIP_CAS,PubChem_CID,PubChem_Title,PubChem_CAS_All,PubChem_Synonyms_Top10,Audit_Notes,Original_Name,Supplier_CAS_Map,Product_URL,SMILES,Molecular_Weight,Heavy_Atom_Count,LogP,Num_Aromatic_Rings,Num_Aliphatic_Rings,Num_Aromatic_Heterocycles,Num_Aliphatic_Heterocycles,Num_Benzene_Rings,Num_Bicyclic,Num_Aliphatic_Alcohols,Num_Phenols,Num_Aldehydes,Num_Ketones,Num_Esters,Num_Lactones,Num_Ethers,Num_Epoxides,Num_Furans,Num_Thiazoles,Num_Pyridines,Num_Thiophenes,Num_Primary_Amines,Num_Secondary_Amines,Num_Tertiary_Amines
WIP_VERIFIED,Citronellal,106-23-0,7794,Citronellal,106-23-0,"CITRONELLAL|106-23-0|3,7-Dimethyloct-6-enal|3,7-Dimethyl-6-octenal|6-Octenal, 3,7-dimethyl-|2,3-Dihydrocitral|Citronella|Citronellel|beta-Citronellal|3,7-Dimethyl-6-octen-1-al",,Citronellal from SimpleScentsDIY,{'MySkinRecipes': '106-23-0'},https://www.myskinrecipes.com/shop/th/citrus-ส้ม-เปรี้ยว-สดชื่น/2482-citronellal.html,CC(CCC=C(C)C)CC=O,154.14,11,2.96,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
WIP_VERIFIED,Cyclogalbanate,68901-15-5,111727,Allyl cyclohexyloxyacetate,68901-15-5,"Allyl cyclohexyloxyacetate|Acetic acid, (cyclohexyloxy)-, 2-propenyl ester|allyl 2-(cyclohexyloxy)acetate|Allyl (cyclohexyloxy)acetate|EINECS 272-657-3|ISOANANAT|ISOANANATE|B2R58HW644|Acetic acid, 2-(cyclohexyloxy)-, 2-propen-1-yl ester|RefChem:554863",,Cyclogalbanate from SimpleScentsDIY,{'MySkinRecipes': '68901-15-5'},https://www.myskinrecipes.com/shop/th/green-พืช-ใบไม้เขียว/2620-cyclogalbanate-cyclogalbaniff.html,C=CCOC(=O)COC1CCCCC1,198.13,14,2.06,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
WIP_VERIFIED,Dihydromyrcenol,18479-58-8,29096,Dihydromyrcenol,53219-21-9|18479-58-8,"Dihydromyrcenol|2,6-Dimethyloct-7-en-2-ol|2,6-Dimethyl-7-octen-2-ol|7-OCTEN-2-OL, 2,6-DIMETHYL-|1,1,5-trimethyl-6-heptenol|BRN 1840872|EINECS 242-362-4|EINECS 246-787-6|UNII-46L1B02ND9|DTXSID8029317",,Dihydromyrcenol from SimpleScentsDIY,{'MySkinRecipes': '18479-58-8'},https://www.myskinrecipes.com/shop/th/citrus-ส้ม-เปรี้ยว-สดชื่น/2493-dihydromyrcenol.html,CC(CCCC(C)(C)O)C=C,156.15,11,2.75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA_GAP,DMBC Acetate,0151-05-03,,,,,,DMBC Acetate from SimpleScentsDIY,{'SimpleScentsDIY': '151-05-3'},https://www.simplescentsdiy.com/product/35444-34944/dmbcacetate,,,,,,,,,,,,,,,,,,,,,,,,,
WIP_VERIFIED,Gamma-Heptalactone,105-21-5,7742,gamma-Heptalactone,57129-71-2|105-21-5,"gamma-Heptalactone|105-21-5|4-Heptanolide|5-propyloxolan-2-one|gamma-Heptanolactone|2(3H)-Furanone, dihydro-5-propyl-|Heptan-4-olide|1,4-Heptanolide|Heptanolide-4,1|gamma-Propiobutyrolactone",,Gamma-Heptalactone from SimpleScentsDIY,{'SimpleScentsDIY': '105-21-5'},https://www.simplescentsdiy.com/product/35448-34948/gamma-heptalactone-15-ml,CCCC1CCC(=O)O1,128.08,9,1.49,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
WIP_VERIFIED,Isoamyl Phenyl Acetate,102-19-2,7600,Isoamyl phenylacetate,102-19-2,"Isoamyl phenylacetate|102-19-2|Isopentyl phenylacetate|Benzeneacetic acid, 3-methylbutyl ester|3-Methylbutyl phenylacetate|3-methylbutyl 2-phenylacetate|Isoamyl alpha-toluate|FEMA No. 2081|isoamyl phenyl acetate|NSC 60582",,Isoamyl Phenyl Acetate from SimpleScentsDIY,{'MySkinRecipes': '102-19-2'},https://www.myskinrecipes.com/shop/th/vanilla-วานิลลา/2831-isoamyl-phenyl-acetate.html,CC(C)CCOC(=O)CC1=CC=CC=C1,206.13,15,2.82,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
WIP_VERIFIED,Isoamyl Salicylate,87-20-7,6874,Isoamyl salicylate,87-20-7,"Isoamyl salicylate|87-20-7|3-Methylbutyl 2-hydroxybenzoate|Isopentyl salicylate|3-Methylbutyl salicylate|Benzoic acid, 2-hydroxy-, 3-methylbutyl ester|Salicylic acid, isopentyl ester|FEMA No. 2084|2-Hydroxybenzoic acid, 3-methylbutyl ester|M25E4ZMR0N",,Isoamyl Salicylate from SimpleScentsDIY,{'MySkinRecipes': '87-20-7'},https://www.myskinrecipes.com/shop/th/orchid-กล้วยไม้/2729-isoamyl-salicylate.html,CC(C)CCOC(=O)C1=CC=CC=C1O,208.11,15,2.6,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
WIP_VERIFIED,Isobutyl Salicylate,87-19-4,6873,Isobutyl salicylate,87-19-4,"Isobutyl salicylate|87-19-4|2-Methylpropyl 2-hydroxybenzoate|Isobutyl o-hydroxybenzoate|Benzoic acid, 2-hydroxy-, 2-methylpropyl ester|2-Methylpropyl o-hydroxybenzoate|SALICYLIC ACID, ISOBUTYL ESTER|FEMA No. 2213|DTXSID3047186|S122C080GX",,Isobutyl Salicylate from SimpleScentsDIY,{'MySkinRecipes': '87-19-4'},https://www.myskinrecipes.com/shop/th/spice-เผ็ดร้อน/2799-isobutyl-salicylate.html,CC(C)COC(=O)C1=CC=CC=C1O,194.09,14,2.21,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
SUPPLIER_MISMATCH,Jessemal,38285-49-3,161960,5-Methyl-3-butyltetrahydropyran-4-yl acetate,38285-49-3,"38285-49-3|5-Methyl-3-butyltetrahydropyran-4-yl acetate|2H-Pyran-4-ol, 3-butyltetrahydro-5-methyl-, acetate|RefChem:537083|253-863-2|TEPYL ACETATE|(3-butyl-5-methyloxan-4-yl) acetate|3-Butyltetrahydro-5-methyl-2H-pyran-4-yl acetate|EINECS 253-863-2|3-Butyl-5-methyl-tetrahydro-2H-pyran-4-yl acetate",Supplier MySkinRecipes CAS 1322-17-4 error,Jessemal from SimpleScentsDIY,{'MySkinRecipes': '1322-17-4'},https://www.myskinrecipes.com/shop/th/jasmine-มะลิ/32885-jessemal-jasmonyl-fema-2783.html,CCCCC1COCC(C1OC(=O)C)C,214.16,15,2.39,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
WIP_VERIFIED,Maple Lactone 10 % in DPG,80-71-7,6660,2-Hydroxy-3-methyl-2-cyclopenten-1-one,80-71-7,"80-71-7|Cyclotene|Corylone|2-HYDROXY-3-METHYL-2-CYCLOPENTEN-1-ONE|2-hydroxy-3-methylcyclopent-2-en-1-one|Cycloten|2-Cyclopenten-1-one, 2-hydroxy-3-methyl-|Methylcyclopentenolone|Cyclotene (ordorant)|2-Hydroxy-1-methylcyclopenten-3-one",,Maple Lactone 10 % in DPG from SimpleScentsDIY,{'SimpleScentsDIY': '80-71-7'},https://www.simplescentsdiy.com/product/35029-34507/maplelactone,CC1=C(C(=O)CC1)O,112.05,8,1.18,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
