Product_ID,Material_Name,CAS_Number,New CAS,Price_US/g,Notes,Is_Dilution,Active_Material,Solvent,Active_%
5AR08831,Aldehyde C-11 Undecanal 10% in DPG from PerfumersWorld,"112-44-7|0.1
25265-71-8|0.9",,0.11,,TRUE,Aldehyde C-11 Undecanal from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1
4AR01236,Aldehyde C-11 Undecylenic from PerfumersWorld,112-45-8,,0.30,,FALSE,,,
5AR08462,Aldehyde C-11 Undecylenic 10% in DPG from PerfumersWorld,"112-45-8|0.1
25265-71-8|0.9",,0.07,,TRUE,Aldehyde C-11 Undecylenic from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1
4AA00021,Aldehyde C-12 Lauric Dodecanal from PerfumersWorld,112-54-9,,0.25,,FALSE,,,
5AA07834,Aldehyde C-12 Lauric Dodecanal 10% in DPG from PerfumersWorld,"67634-00-8|0.1
25265-71-8|0.9",,0.06,,TRUE,Aldehyde C-12 Lauric Dodecanal from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1
4AG00022,Aldehyde C-12 MNA from PerfumersWorld,110-41-8,,0.28,,FALSE,,,
5AG07528,Aldehyde C-12 MNA 10% in DPG from PerfumersWorld,"67634-00-8|0.1
25265-71-8|0.9",,0.06,,TRUE,Aldehyde C-12 MNA from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1
4DD00454,Aldehyde C-14 Gamma Undecalactone from PerfumersWorld,104-67-6,,0.17,,FALSE,,,
5DD07538,Aldehyde C-14 Gamma Undecalactone 10% in DPG from PerfumersWorld,"104-67-6|0.1
25265-71-8|0.9",,0.15,,TRUE,Aldehyde C-14 Gamma Undecalactone from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1
4FC00176,Aldehyde C-16 Ethyl Methyl Phenyl Glycidate from PerfumersWorld,77-83-8,,0.14,,FALSE,,,
5FC07539,Aldehyde C-16 Ethyl Methyl Phenyl Glycidate 10% in DPG from PerfumersWorld,"77-83-8|0.1
25265-71-8|0.9",,0.06,,TRUE,Aldehyde C-16 Ethyl Methyl Phenyl Glycidate from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1
4DD00324,Aldehyde C-18 Gamma Nonalactone from PerfumersWorld,104-61-0,,0.21,,FALSE,,,
5DD12925,Aldehyde C-18 Gamma Nonalactone 10% in DPG from PerfumersWorld,"104-61-0|0.1
25265-71-8|0.9",,0.07,,TRUE,Aldehyde C-18 Gamma Nonalactone from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1
4AG00025,Aldehyde C-7 Heptanal from PerfumersWorld,111-71-7,,0.62,,FALSE,,,
4AC00026,Aldehyde C-8 Octanal from PerfumersWorld,124-13-0,,0.20,,FALSE,,,
5AC08158,Aldehyde C-8 Octanal 10% in DPG from PerfumersWorld,"124-13-0|0.1
25265-71-8|0.9",,0.07,,TRUE,Aldehyde C-8 Octanal from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1
4AC00027,Aldehyde C-9 Nonanal from PerfumersWorld,124-19-6,,0.24,,FALSE,,,
5AC10167,Aldehyde C-9 Nonanal 10% in DPG from PerfumersWorld,"124-19-6|0.1
25265-71-8|0.9",,0.07,,TRUE,Aldehyde C-9 Nonanal from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1
6GN23713,Algenone from PerfumersWorld,Mixture (Perfume Base),,0.40,,FALSE,,,
4GN23714,Algix Pure from PerfumersWorld,72987-59-8,,2.25,,FALSE,,,
4FG00029,Allyl Amyl Glycolate from PerfumersWorld,67634-00-8,,0.20,,FALSE,,,
5FG07543,Allyl Amyl Glycolate 10% in DPG from PerfumersWorld,"67634-00-8|0.1
25265-71-8|0.9",,0.05,,TRUE,Allyl Amyl Glycolate from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1
4FC02995,Allyl Caproate from PerfumersWorld,123-68-2,,0.14,,FALSE,,,
4FC00030,Allyl Cyclohexyl Propionate from PerfumersWorld,2705-87-5,,0.17,,FALSE,,,
5FC12465,Allyl Cyclohexyl Propionate 10% in DPG from PerfumersWorld,"2705-87-5|0.1
25265-71-8|0.9",,0.06,,TRUE,Allyl Cyclohexyl Propionate from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1
4IN10857,Allyl Ionone Cetone V from PerfumersWorld,79-78-7,,1.30,,FALSE,,,
9IF02656,Alpha Damascone from PerfumersWorld,43052-87-5,,1.90,,FALSE,,,
5IF07569,Alpha Damascone 10% in DPG from PerfumersWorld,"43052-87-5|0.1
25265-71-8|0.9",,0.21,,TRUE,Alpha Damascone from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1
3IF00237,Alpha Ionone from PerfumersWorld,127-41-3,,0.26,,FALSE,,,
8II00243,Alpha Irone from PerfumersWorld,79-69-6,,5.10,,FALSE,,,
5II11436,Alpha Irone 10% in DPG from PerfumersWorld,"79-69-6|0.1
25265-71-8|0.9",,0.52,,TRUE,Alpha Irone from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1
5II09179,Alpha Irone 10% in Myristic Acid(solid) from PerfumersWorld,79-69-6|0.1,,0.57,,TRUE,Alpha Irone from PerfumersWorld,Myristic Acid(solid) from PerfumersWorld,0.1
3IW00300,Alpha Isomethyl Ionone from PerfumersWorld,127-51-5,,0.23,,FALSE,,,
3KC14406,Alpha Pinene from PerfumersWorld,80-56-8,,0.08,,FALSE,,,
3KL00430,Alpha Terpineol from PerfumersWorld,98-55-5,,0.15,,FALSE,,,
ALP06024,Alpha-Male Concentrate from PerfumersWorld,Not Found,,5.02,,FALSE,,,
ALP06025,Alpha-Male Factor from PerfumersWorld,Not Found,,0.52,,FALSE,,,
3WQ11673,Amber Decane from PerfumersWorld,58567-11-6,,0.45,,FALSE,,,
6WV18080,AMBER F-TEC from PerfumersWorld,Mixture (Perfume Base),,0.15,,FALSE,,,
6WV12277,Amber Fleuressence from PerfumersWorld,Mixture (Perfume Base),,0.12,,FALSE,,,
BOTAM12M,BOTAM12M @ US$0.90/bottle from PerfumersWorld,Not Found,,,,FALSE,,,
BOTAMB30,BOTAMB30 @ US$2.40/bottle from PerfumersWorld,Not Found,,,,FALSE,,,
BOTAMB05,BOTAMB05 @ US$0.90/bottle from PerfumersWorld,Not Found,,,,FALSE,,,
BOTAMB60,BOTAMB60 @ US$2.40/bottle from PerfumersWorld,Not Found,,,,FALSE,,,
6VU09627,Amber Solid from PerfumersWorld,Mixture (Perfume Base),,0.28,,FALSE,,,
6UY18081,AMBERGRIS F-TEC from PerfumersWorld,Mixture (Perfume Base),,0.20,,FALSE,,,
6UY09424,Ambergris Fleuressence from PerfumersWorld,Mixture (Perfume Base),,0.22,,FALSE,,,
4WW16862,Amberketal IPM from PerfumersWorld,57345-19-4,,1.82,,FALSE,,,
4WU16860,Ambermax 50% Dowanol TPM from PerfumersWorld,929625-08-1,,0.99,,FALSE,,,
6UQ20900,AMBERNOIR F-TEC from PerfumersWorld,Mixture (Perfume Base),,0.35,,FALSE,,,
6UQ20857,AmberNoir Fleuressence from PerfumersWorld,Mixture (Perfume Base),,0.35,,FALSE,,,
6UQ09624,Amberome Base PW from PerfumersWorld,Mixture (Perfume Base),,1.80,,FALSE,,,
6UV16208,Ambreine Classic PW from PerfumersWorld,Mixture (Perfume Base),,0.80,,FALSE,,,
6VC09625,Ambreine Fleuressence from PerfumersWorld,Mixture (Perfume Base),,0.20,,FALSE,,,
8XU00529,Ambrette Seed Absolute from PerfumersWorld,84455-19-6,,20.02,,FALSE,,,
5XU12235,Ambrette Seed Absolute 10% in DPG from PerfumersWorld,"84455-19-6|0.1
25265-71-8|0.9",,2.52,,TRUE,Ambrette Seed Absolute from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1
6XU18931,AMBRETTE SEED F-TEC from PerfumersWorld,Mixture (Perfume Base),,0.40,,FALSE,,,
4XU00034,Ambrettolide from PerfumersWorld,28645-51-4,,2.50,,FALSE,,,
5XU07617,Ambrettolide 10% in DPG from PerfumersWorld,"28645-51-4|0.1
25265-71-8|0.9",,0.27,,TRUE,Ambrettolide from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1
5XU10231,Ambrettolide 50% in DPG from PerfumersWorld,"123-69-3|0.5
25265-71-8|0.5",,1.40,,TRUE,Ambrettolide from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.5
1WU21632,Ambrocenide from PerfumersWorld,211299-54-6,,4.93,,FALSE,,,
5WU22697,Ambrocenide 10% in DPG from PerfumersWorld,"211299-54-6|0.1
25265-71-8|0.9",,0.56,,TRUE,Ambrocenide from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1
5WU22696,Ambrocenide 10% in TEC from PerfumersWorld,"211299-54-6|0.1
77-93-0|0.9",,0.58,,TRUE,Ambrocenide from PerfumersWorld,Triethyl Citrate (TEC) from PerfumersWorld,0.1
1UW16861,Ambrofix from PerfumersWorld,6790-58-5,,1.87,,FALSE,,,
1UW00035,Ambrox Super from PerfumersWorld,6790-58-5,,1.50,,FALSE,,,
5UW20027,Ambrox Super 10% in DPG from PerfumersWorld,"6790-58-5|0.1
25265-71-8|0.9",,0.20,,TRUE,Ambrox Super from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1
1UW00036,Ambroxan from PerfumersWorld,6790-58-5,,2.52,,FALSE,,,
5UW07540,Ambroxan 10% in DPG from PerfumersWorld,"6790-58-5|0.1
25265-71-8|0.9",,0.37,,TRUE,Ambroxan from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1
3JJ00005,3JJ00005 @ US$0.20/0 from PerfumersWorld,122-40-7,,,,FALSE,,,
3OH00037,Amyl Salicylate from PerfumersWorld,2050-08-0,,0.14,,FALSE,,,
4FD06346,Amyl Valerate from PerfumersWorld,2173-56-0,,0.95,,FALSE,,,
7WX00917,Amyris Essential Oil from PerfumersWorld,8015-65-4,,0.82,,FALSE,,,
4SB00038,Anethole from PerfumersWorld,4180-23-8,,0.20,,FALSE,,,
6DU18084,ANIMALISSIMO F-TEC from PerfumersWorld,Mixture (Perfume Base),,0.16,,FALSE,,,
6DU12415,Animalissio Blender Fleuressence from PerfumersWorld,Mixture (Perfume Base),,0.15,,FALSE,,,
3NV00040,Anisaldehyde from PerfumersWorld,123-11-5,,0.26,,FALSE,,,
7SB00041,Anise Essential Oil China from PerfumersWorld,8007-70-3,,0.24,,FALSE,,,
3LN00043,Anisyl Acetate from PerfumersWorld,104-21-2,,0.28,,FALSE,,,
