Product_ID,Material_Name,Package_Size,CAS_Number,New CAS,Price_THB_total,Price_THB/g,Notes,Is_Dilution,Active_Material,Solvent,Active_%,Supplier,Product_URL
2846,Sandalore,1 g,65113-99-7,,63.54,63.5400,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/เร่งการงอก-ลดการร่วง/2846-sandal-pentanol-sandalore.html
2824,Maltyl Isobutyrate,1 g,65416-14-0,,117.98,117.9800,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/vanilla-วานิลลา/2824-maltyl-isobutyrate.html
2811,Amber Decane (Bois Ambrene Forte),1 g,58567-11-6,,299.33,299.3300,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/animal-สัตว์/2811-amber-decane-bois-ambrene-amberwood-forte.html
2788,Methyl Eugenol (FEMA,1 g,93-15-2,,85.66,85.6600,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/spice-เผ็ดร้อน/2788-methyl-eugenol-fema-2475.html
2761,Citronellyl Acetate (FEMA,1 g,150-84-5,,56.21,56.2100,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/rose-กุหลาบ/2761-citronellyl-acetate-fema-2311.html
2744,Phenyl Propyl Alcohol (Hydrocinnamyl),1 g,122-97-4,,54.24,54.2400,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/frankincense-กำยาน/2744-phenyl-propyl-alcohol-hydrocinnamyl-alcohol.html
2735,Methyl Benzoate (FEMA‑2683),1 g,93-58-3,,42.47,42.4700,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/phenolic-ยา/2735-methyl-benzoate-fema-2683.html
2725,Acetophenone,1 g,98-86-2,,38.28,38.2800,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/narcotic-ยาเสพติด/2725-acetophenone.html
2689,Farnesol,1 g,4602-84-0,,129.21,129.2100,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/สารดับกลิ่น/2689-farnesol.html
2681,Alpha,9 g,,,45.46,5.0511,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/konifer-ต้นสน/2681-alpha-terpineol-fema-3045-.html
2668,Benzyl Acetate,1 g,,,39.48,39.4800,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/jasmine-มะลิ/2668-benzyl-acetate-fema-2135.html
2660,Methyl Ionone Gamma 70,1 g,,,48.95,48.9500,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/iris-ไอริส/2660-methyl-ionone-gamma-isoraldeine-70.html
2555,2‑Methyl‑2‑pentenoic Acid,1 g,3142-72-1,,88.35,88.3500,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/fruit-ผลไม้/2555-2-methyl-2-pentenoic-acid-fema-3195.html
2524,"2,3‑Dimethyl Pyrazine",1 g,5910-89-4,,110.80,110.8000,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/edible-อาหาร/2524-2-3-dimethyl-pyrazine.html
2508,Delta‑Dodecalactone,1 g,713-95-1,,49.55,49.5500,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/dairy-นม-เนย/2508-delta-dodecalactone-fema-2401.html
2473,Isomenthone,1 g,491-07-6,,159.28,159.2800,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/ice-cold-เย็น/2473-isomenthone.html
32350,Isoamyl Propionate (FEMA,1 g,105-68-0,,129.25,129.2500,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/ungrouped/32350-3-methylbutyl-propanoate-isoamyl-propionate-fema-2082.html
3702,Plicatone,1 g,41724-19-0,,778.00,778.0000,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/herb-สมุนไพร/3702-herbal-undecanone-plicatone.html
