Product_ID,Material_Name,CAS_Number,Price_USD/g,Notes,Is_Dilution,Active_Material,Solvent,Active_%
1YG00077,Calone from PerfumersWorld,28940-11-6,4.46,,FALSE,,,
1YP00185,Evernyl from PerfumersWorld,4707-47-5,0.52,,FALSE,,,
1ZX03525,Citric Acid from PerfumersWorld,77-92-9,0.08,,FALSE,,,
2CQ00168,Elemi Gum from PerfumersWorld,9000-75-3,0.27,,FALSE,,,
2NC00409,Aurantiol - Methyl Anthranilate Schiffs Base from PerfumersWorld,89-43-0,0.37,,FALSE,,,
2QC00337,Opoponax Resinoid from PerfumersWorld,9000-78-6,0.72,,FALSE,,,
2QK00334,Olibanum Resinoid Absolute - Solid from PerfumersWorld,8016-36-2,0.86,,FALSE,,,
2QK21856,Olibanum Resinoid (Viscous) from PerfumersWorld,8050-07-5,0.65,,FALSE,,,
2QS00421,Styrax Resinoid from PerfumersWorld,9000-74-2,1.97,,FALSE,,,
2QV00050,Benzoin Siam Resinoid from PerfumersWorld,9000-72-0,0.60,,FALSE,,,
2QV00363,Peru Balsam Resinoid from PerfumersWorld,8007-00-9,0.78,,FALSE,,,
2QV00443,Tolu Balsam Resinoid from PerfumersWorld,9000-64-0,1.27,,FALSE,,,
2QV08253,Benzoin Sumatra Resinoid from PerfumersWorld,9000-73-1,0.40,,FALSE,,,
2QV23712,Benjoin Laos Matured from PerfumersWorld,9000-05-9,0.60,,FALSE,,,
2QV23715,Tonkarome from PerfumersWorld,Mixture,0.25,,FALSE,,,
2QZ00223,Hercolyn D from PerfumersWorld,8050-15-5,0.10,,FALSE,,,
2RB00163,Diphenyl Oxide from PerfumersWorld,101-84-8,0.08,,FALSE,,,
2SC00297,Methyl Cinnamate from PerfumersWorld,103-26-4,0.24,,FALSE,,,
2SQ00056,Benzyl Cinnamate from PerfumersWorld,103-41-3,0.25,,FALSE,,,
2SV00105,Cinnamyl Alcohol from PerfumersWorld,104-54-1,0.20,,FALSE,,,
2UQ00264,Labdanum Resinoid from PerfumersWorld,8016-26-0,0.68,,FALSE,,,
2VD00148,Dihydro Coumarin from PerfumersWorld,119-84-6,0.16,,FALSE,,,
2WW00099,Cedryl Acetate from PerfumersWorld,77-54-3,0.21,,FALSE,,,
2XA09558,Musk Concentrate from PerfumersWorld,Mixture,0.19,,FALSE,,,
2XX00186,Exaltolide Pentadecanolide from PerfumersWorld,106-02-5,1.10,,FALSE,,,
2XX14556,Macrolide from PerfumersWorld,105-95-3,1.12,,FALSE,,,
2YQ00329,Oakmoss Resinoid - IFRA Low Atranol from PerfumersWorld,90028-68-5,0.60,,FALSE,,,
3AC00014,Decanol (Alcohol C-10) from PerfumersWorld,112-30-1,0.12,,FALSE,,,
3AC03955,Dodecyl Nitrile from PerfumersWorld,2437-25-4,0.46,,FALSE,,,
3AD00017,Alcohol C-9 from PerfumersWorld,143-08-8,0.70,,FALSE,,,
3AD13388,Alcohol C-8 Octanol from PerfumersWorld,111-87-5,0.18,,FALSE,,,
3AE13387,Alcohol C-7 Heptanol from PerfumersWorld,111-70-6,0.34,,FALSE,,,
3BH00078,Camphene from PerfumersWorld,79-92-5,0.17,,FALSE,,,
3BH00181,Eucalyptol from PerfumersWorld,470-82-6,0.21,,FALSE,,,
3CC00112,Citrathal from PerfumersWorld,7492-66-2,0.48,,FALSE,,,
3CC06770,Lemonile from PerfumersWorld,61792-11-8,0.20,,FALSE,,,
3CK00150,Dihydro Myrcenol from PerfumersWorld,18479-58-8,0.12,,FALSE,,,
3CK07504,Dimetol from PerfumersWorld,13254-34-7,0.36,,FALSE,,,
3CQ00276,D-Limonene from PerfumersWorld,5989-27-5,0.08,,FALSE,,,
3CQ00313,Myrcene from PerfumersWorld,123-35-3,0.45,,FALSE,,,
3CR00317,Nerol from PerfumersWorld,106-25-2,0.20,,FALSE,,,
3FD00174,Ethyl Butyrate from PerfumersWorld,105-54-4,0.08,,FALSE,,,
3FD00246,Isoamyl Butyrate from PerfumersWorld,106-27-4,0.09,,FALSE,,,
3FD04102,Ethyl Lactate from PerfumersWorld,97-64-3,0.09,,FALSE,,,
3FD05860,Butyl Butyrate from PerfumersWorld,109-21-7,0.11,,FALSE,,,
3FD06779,Apritone from PerfumersWorld,68133-79-9,0.78,,FALSE,,,
3FG00145,Diethyl Malonate from PerfumersWorld,105-53-3,0.09,,FALSE,,,
3FG00172,Ethyl Acetoacetate from PerfumersWorld,141-97-9,0.08,,FALSE,,,
3FG00196,Fructone B from PerfumersWorld,6413-10-1,0.14,,FALSE,,,
3FG00387,Prenyl Acetate from PerfumersWorld,1191-16-8,0.12,,FALSE,,,
3FG00463,Verdox from PerfumersWorld,88-41-5,0.18,,FALSE,,,
3FG19149,Berry Hexanoate (BerryFlor) from PerfumersWorld,104986-28-9,1.10,,FALSE,,,
3FH04104,Ethyl Levulinate from PerfumersWorld,539-88-8,0.22,,FALSE,,,
3FL06757,Rhubofix from PerfumersWorld,41816-03-9,1.90,,FALSE,,,
3GF19243,Galbex183 from PerfumersWorld,68901-15-5,1.00,,FALSE,,,
3GM00219,Helional from PerfumersWorld,1205-17-0,0.29,,FALSE,,,
3GN00227,cis-3 Hexenyl Benzoate from PerfumersWorld,25152-85-6,0.82,,FALSE,,,
3GN00379,Phenyl Propyl Alcohol from PerfumersWorld,122-97-4,0.20,,FALSE,,,
3GO00229,cis-3 Hexenyl Salicylate from PerfumersWorld,65405-77-8,0.52,,FALSE,,,
3GS16129,Ivybase from PerfumersWorld,Mixture,0.52,,FALSE,,,
3IA00343,Orivone from PerfumersWorld,16587-71-6,0.52,,FALSE,,,
3IA06874,Irotyl from PerfumersWorld,1335-46-2,0.26,,FALSE,,,
3IF00237,Alpha Ionone from PerfumersWorld,127-41-3,0.26,,FALSE,,,
3IF00238,Beta Ionone from PerfumersWorld,14901-07-6,0.29,,FALSE,,,
3IL00139,Damascol from PerfumersWorld,57378-68-4,0.66,,FALSE,,,
3IL00153,Dihydro Beta Ionone from PerfumersWorld,17283-81-7,0.60,,FALSE,,,
3IW00300,Alpha Isomethyl Ionone from PerfumersWorld,127-51-5,0.23,,FALSE,,,
3JF00052,Benzyl Acetate from PerfumersWorld,140-11-4,0.20,,FALSE,,,
3JF00059,Benzyl Propionate from PerfumersWorld,122-63-4,0.09,,FALSE,,,
